codigo,adecuacinsanitaria,fadecuacinsanitaria
0,0,1
951,0,1
1000,.9932,5
1010,.9932,5
1020,.99690002,5
1028,0,1
1029,0,1
1040,.99479997,5
1048,.98449999,5
1049,.9041,3
1050,.9982,5
1070,.995,5
1080,.95490003,4
1089,.99790001,5
1109,.90310001,3
1116,0,1
1125,.95859998,4
1139,.88330001,3
1159,0,1
1184,0,1
1200,.90740001,4
1209,0,1
1210,.9993,5
1219,.99620003,5
1239,.94389999,4
1240,.94199997,4
1275,.80110002,3
1276,.96130002,4
1278,.84979999,3
1279,.88419998,3
1285,.90799999,4
1289,.94270003,4
1298,.9501,4
1310,.86519998,3
1320,.88129997,3
1329,0,1
1330,.98689997,5
1340,.94660002,4
1377,.90210003,3
1379,0,1
1389,0,1
1407,.88700002,3
1408,.90069997,3
1419,.92320001,4
1430,.99809998,5
1440,0,1
1460,.9867,5
1480,.99790001,5
1504,0,1
1505,0,1
1506,0,1
1507,0,1
1508,0,1
1509,.87599999,3
1530,.91320002,4
1537,0,1
1538,.92790002,4
1548,.8804,3
1549,.87339997,3
1566,.99159998,5
1567,.8926,3
1569,.94370002,4
1585,0,1
1586,0,1
1587,0,1
1588,.95190001,4
1589,0,1
1590,1,5
1620,.98689997,5
1640,.9817,5
1645,.93229997,4
1720,.99089998,5
1729,.98140001,5
1759,.87589997,3
1788,0,1
1789,.77060002,3
1800,.7403,3
1807,.9598,4
1810,.99659997,5
1830,.55809999,2
1840,.88300002,3
1856,0,1
1857,.81779999,3
1859,.7026,3
1860,.8714,3
1863,0,1
1870,.86220002,3
1900,.9939,5
1904,.96939999,4
1940,0,1
1990,0,1
2000,.96249998,4
2008,0,1
2090,.97350001,4
2099,.9152,4
2120,.95609999,4
2125,.95609999,4
2127,0,1
2128,.99690002,5
2129,.89039999,3
2130,.88150001,3
2140,.87510002,3
2160,.9788,5
2169,0,1
2200,.94559997,4
2230,.94529998,4
2250,.90920001,4
2260,0,1
2300,.861,3
2310,.81720001,3
2320,.9357,4
2330,.92769998,4
2340,.71130002,3
2350,0,1
2360,.74409997,3
2409,0,1
2410,.99870002,5
2419,0,1
2430,0,1
2440,.90990001,4
2459,.95190001,4
2470,.91530001,4
2479,0,1
2480,.98989999,5
2500,.99659997,5
2519,.9199,4
2520,0,1
2525,0,1
2530,.97140002,4
2540,0,1
2600,.95200002,4
2640,.9077,4
2650,.96359998,4
2660,.91869998,4
2670,.92309999,4
2680,.91600001,4
2700,.85759997,3
2718,0,1
2719,.83829999,3
2729,0,1
2730,.97030002,4
2739,0,1
2770,.82669997,3
2780,.93589997,4
2790,.94709998,4
2800,.99669999,5
2820,0,1
2850,.94959998,4
2860,.94959998,4
2870,.97000003,4
2900,.90859997,4
2910,.92570001,4
2920,.96069998,4
2930,.91339999,4
2940,.95969999,4
2950,.93409997,4
2960,.76249999,3
2970,.85949999,3
2990,.96749997,4
3000,.99699998,5
3010,.99519998,5
3027,0,1
3028,0,1
3103,.99769998,5
3104,.99720001,5
3109,0,1
3199,0,1
3200,.99129999,5
3219,0,1
3220,0,1
3229,0,1
3230,.99760002,5
3240,1,5
3300,.99250001,5
3303,.99059999,5
3310,.98150003,5
3311,0,1
3313,0,1
3319,0,1
3320,.95340002,4
3330,.97310001,4
3339,0,1
3340,.99620003,5
3410,.99129999,5
3420,.99559999,5
3430,.9921,5
3440,.96380001,4
3500,.99409997,5
3510,.99440002,5
3520,.99669999,5
3530,.99010003,5
3540,.99349999,5
3550,.9921,5
3560,.99250001,5
3570,.99290001,5
3580,.99370003,5
3590,1,5
3600,.99430001,5
3610,.99129999,5
3620,.99349999,5
3630,.9896,5
3640,1,5
3650,.99919999,5
3660,.98760003,5
3700,.99589998,5
3710,.98930001,5
3720,.99989998,5
3730,.98040003,5
3740,.99760002,5
3800,.99659997,5
3809,0,1
3810,.9975,5
3818,0,1
3819,0,1
3820,.98629999,5
3840,.98869997,5
3849,0,1
3900,.9964,5
3910,.99199998,5
3920,.99860001,5
3930,.99610001,5
3940,.99529999,5
3949,0,1
4000,.9921,5
4009,0,1
4010,.98659998,5
4020,.9971,5
4030,.97579998,5
4040,.9975,5
4100,.99190003,5
4110,0,1
4129,0,1
4200,.99730003,5
4210,.9982,5
4230,.97909999,5
4239,0,1
4240,.96640003,4
4250,.9928,5
4259,0,1
4270,0,1
4280,0,1
4300,.83149999,3
4307,0,1
4309,0,1
4317,0,1
4318,.99150002,5
4326,0,1
4327,0,1
4336,0,1
4337,0,1
4338,0,1
4359,0,1
4368,0,1
4369,.84329998,3
4400,.99919999,5
4420,.97869998,5
4450,1,5
4489,.99839997,5
4500,.99849999,5
4510,0,1
4519,.97570002,4
4530,.99769998,5
4535,0,1
4600,.87230003,3
4610,.9892,5
4620,.94989997,4
4630,.85790002,3
4640,.9975,5
4710,.99559999,5
4718,0,1
4720,0,1
4729,0,1
4739,.97689998,5
4810,.99900001,5
4815,0,1
4840,0,1
4843,0,1
4849,0,1
4850,0,1
4859,0,1
4899,.96160001,4
4908,0,1
4910,.87849998,3
4918,.99769998,5
4919,.97399998,4
4920,.99949998,5
4921,0,1
4929,1,5
4930,1,5
4938,.99919999,5
4939,.99910003,5
4940,1,5
4950,.99910003,5
4960,.99849999,5
4970,.9982,5
5000,.90079999,3
5009,0,1
5010,.71079999,3
5020,.72799999,3
5039,0,1
5060,0,1
5100,.89590001,3
5109,0,1
5110,.89600003,3
5118,.91869998,4
5119,.98220003,5
5126,0,1
5128,0,1
5130,0,1
5200,.96990001,4
5214,0,1
5219,.95029998,4
5220,.96899998,4
5230,.95139998,4
5238,0,1
5240,.98680001,5
5249,0,1
5260,.90700001,3
5268,0,1
5269,.74519998,3
5270,.93720001,4
5280,.87010002,3
5310,.9576,4
5320,.96920002,4
5348,.98299998,5
5349,0,1
5360,.93849999,4
5370,.89090002,3
5379,.8186,3
5400,.87440002,3
5500,.90829998,4
5501,0,1
5520,0,1
5530,.92769998,4
5610,.4637,2
5619,0,1
5620,0,1
5700,0,1
5710,.7665,3
5730,.7992,3
5750,.6261,2
5760,.67049998,2
5780,.58590001,2
6000,.93580002,4
6010,.93580002,4
6018,0,1
6020,.93580002,4
6030,.97689998,5
6038,0,1
6039,0,1
6040,.93580002,4
6050,.93580002,4
6057,0,1
6058,0,1
6060,.93580002,4
6065,0,1
6066,0,1
6067,0,1
6068,0,1
6070,.93580002,4
6079,0,1
6080,.93580002,4
6090,.93580002,4
6100,.99699998,5
6140,.99699998,5
6170,.99739999,5
6171,0,1
6179,0,1
6199,0,1
6220,.97579998,5
6240,.96579999,4
6250,.97610003,5
6270,.97119999,4
6280,.9756,4
6300,.97280002,4
6302,0,1
6309,0,1
6350,.9752,4
6357,0,1
6400,.97280002,4
6430,.99830002,5
6450,.9598,4
6479,0,1
6500,.99589998,5
6589,0,1
6597,0,1
6598,0,1
6599,0,1
6600,.9824,5
6606,0,1
6609,0,1
6691,0,1
6692,0,1
6693,0,1
6694,0,1
6695,0,1
6696,0,1
6698,0,1
6699,0,1
6700,.97689998,5
6703,0,1
6704,0,1
6707,0,1
6720,.98250002,5
6724,0,1
6725,0,1
6727,0,1
6728,0,1
6729,0,1
6740,0,1
6780,.96789998,4
6796,0,1
6797,0,1
6798,0,1
6800,.98009998,5
6820,.97799999,5
6840,.97670001,5
6850,.96700001,4
6860,.96219999,4
6870,.95490003,4
6880,.98720002,5
6890,.96259999,4
6900,.99879998,5
6920,.96740001,4
6995,0,1
7000,.96929997,4
7020,.99049997,5
7040,.90509999,3
7050,.80419999,3
7058,.88569999,3
7059,0,1
7060,.9091,4
7069,.9382,4
7080,.7744,3
7089,.83850002,3
7109,.90649998,3
7110,.77340001,3
7149,.81059998,3
7160,.86159998,3
7170,.82660002,3
7183,.60799998,2
7187,.59140003,2
7188,.70230001,3
7189,.63349998,2
7190,.85860002,3
7199,.75160003,3
7200,.85149997,3
7207,.9095,4
7208,0,1
7209,.90399998,3
7210,.88419998,3
7214,.79890001,3
7224,.53869998,2
7230,.93430001,4
7239,.95230001,4
7240,.83609998,3
7250,.82880002,3
7259,.70630002,3
7268,.98790002,5
7269,0,1
7270,.99879998,5
7279,.99550003,5
7290,.81980002,3
7309,0,1
7310,.75080001,3
7323,0,1
7326,0,1
7327,0,1
7328,0,1
7329,0,1
7330,.9619,4
7349,0,1
7359,.76749998,3
7363,0,1
7369,.98220003,5
7370,.93760002,4
7400,.9508,4
7430,.92150003,4
7440,.96439999,4
7450,.99900001,5
7455,1,5
7458,0,1
7459,0,1
7460,.92919999,4
7469,.94010001,4
7470,.99779999,5
7480,.98909998,5
7500,.90490001,3
7510,.83960003,3
7520,.90200001,3
7540,.95370001,4
7548,0,1
7550,.85570002,3
7560,.85900003,3
7570,.99239999,5
7580,.91500002,4
7600,.96640003,4
7620,.96700001,4
7630,.93370003,4
7640,.95639998,4
7650,.95910001,4
7660,0,1
7670,.93260002,4
7680,.94669998,4
7707,.99019998,5
7708,.99730003,5
7709,0,1
7710,0,1
7720,.99800003,5
7729,0,1
7738,0,1
7739,.98619998,5
7740,.99629998,5
7750,.98220003,5
7754,1,5
7755,.99879998,5
7760,.92140001,4
7800,.98629999,5
7810,.99070001,5
7830,.97229999,4
7838,.9249,4
7839,.93330002,4
7858,.99409997,5
7859,.94230002,4
7869,.94330001,4
7880,.97659999,5
7889,.97570002,4
7899,.921,4
7900,.93980002,4
7909,0,1
7910,.87489998,3
7918,.98729998,5
7919,.91250002,4
7930,.97189999,4
7939,.9612,4
7940,.91250002,4
7950,1,5
7958,.96429998,4
7959,0,1
7970,.96710002,4
7990,.99519998,5
8000,.87919998,3
8009,0,1
8010,.85039997,3
8020,.94370002,4
8029,0,1
8030,.90380001,3
8100,.95630002,4
8160,0,1
8170,0,1
8180,0,1
8188,0,1
8189,0,1
8200,.99250001,5
8210,.9558,4
8220,.9228,4
8230,.77450001,3
8240,.84030002,3
8300,.89499998,3
8310,.82190001,3
8320,.97149998,4
8420,.83840001,3
8500,.93959999,4
8501,0,1
8510,.8854,3
8520,0,1
8560,0,1
8580,0,1
8600,.85399997,3
8610,0,1
8619,0,1
8650,.88090003,3
8700,.89630002,3
8710,.89630002,3
8720,.93709999,4
8730,.92739999,4
8770,.90969998,4
8800,.97140002,4
8810,.99730003,5
8830,.99830002,5
8840,.9971,5
8900,.9971,5
8910,.90109998,3
8920,.94230002,4
9009,0,1
9010,.99550003,5
9020,.9522,4
9030,.9971,5
9070,.98019999,5
9089,.99870002,5
9090,.99370003,5
9099,.96289998,4
9100,.95679998,4
9110,0,1
9120,0,1
9130,.90100002,3
9140,.9095,4
9170,0,1
9180,.9601,4
9200,.98580003,5
9207,0,1
9219,0,1
9220,.96289998,4
9226,0,1
9228,0,1
9229,0,1
9233,0,1
9239,.97750002,5
9240,.97430003,4
9249,.91360003,4
9260,.99119997,5
9270,.99900001,5
9280,.9641,4
9300,.87410003,3
9319,.99720001,5
9320,.9339,4
9330,0,1
9350,.91360003,4
9359,.9619,4
9366,0,1
9368,0,1
9429,.95639998,4
9437,0,1
9438,.82169998,3
9450,.99839997,5
9460,1,5
9470,1,5
9479,.9946,5
9480,.99940002,5
9510,.85039997,3
9519,.85039997,3
9530,.82529998,3
9540,0,1
9550,.72299999,3
9560,.83099997,3
9570,.78570002,3
9578,.90460002,3
9600,.72469997,3
9608,.82279998,3
9609,.82279998,3
9620,.73509997,3
9637,.51560003,2
9638,.64060003,2
9648,.58469999,2
9660,.81510001,3
9670,.71280003,3
9680,.71619999,3
9689,.6602,2
9690,.67869997,2
9696,.58609998,2
9698,.65899998,2
9709,.81400001,3
9710,.95490003,4
9719,0,1
9759,0,1
9767,0,1
9768,0,1
9769,.67110002,2
9770,.83700001,3
9779,0,1
9789,0,1
9790,.75889999,3
9809,.88499999,3
9819,.86769998,3
9828,.96200001,4
9836,0,1
9837,.84060001,3
9838,.87889999,3
9840,.84899998,3
9849,.8427,3
9858,.88480002,3
9859,.86290002,3
9864,0,1
9869,0,1
9889,0,1
9898,0,1
9899,0,1
9920,.81059998,3
9930,.84399998,3
9940,.81370002,3
9969,.88690001,3
9970,.82520002,3
9979,0,1
10000,.91759998,4
10020,.9206,4
10100,0,1
10110,0,1
10130,0,1
10200,.98809999,5
10210,0,1
10290,0,1
10300,.736,3
10309,0,1
10320,.81290001,3
10330,.82419997,3
10340,.847,3
10350,.83420002,3
10360,.8962,3
10368,.80229998,3
10370,.85900003,3
10378,.8283,3
10379,.74119997,3
10380,.91729999,4
10400,.9619,4
10500,.94529998,4
10508,0,1
10509,0,1
10580,.95969999,4
10589,0,1
10600,.85759997,3
10610,.90079999,3
10620,.78689998,3
10630,0,1
10650,0,1
10660,.5794,2
10700,.95130002,4
10710,.94859999,4
10720,0,1
10730,.94859999,4
10740,.94859999,4
10800,.90030003,3
10810,.75819999,3
10820,.97240001,4
10830,.94319999,4
10900,.7525,3
10910,.90469998,3
10920,.82440001,3
10926,0,1
11009,0,1
11040,1,5
11109,0,1
11209,0,1
11210,.71579999,3
11219,0,1
11230,.93889999,4
11239,0,1
11240,.91619998,4
11250,.8423,3
11259,0,1
11270,.85280001,3
11280,.81900001,3
11289,.92540002,4
11300,.9939,5
11310,.84899998,3
11311,0,1
11330,.99959999,5
11340,1,5
11350,.98100001,5
11360,.99400002,5
11370,.94330001,4
11379,0,1
11400,.98680001,5
11420,.97509998,4
11479,0,1
11489,.86769998,3
11500,.99940002,5
11501,0,1
11510,.99730003,5
11511,0,1
11520,.98879999,5
11529,.9576,4
11530,.99949998,5
11540,.99949998,5
11550,.9982,5
11560,.9982,5
11580,.99659997,5
11587,0,1
11590,.99849999,5
11600,.99830002,5
11610,1,5
11640,0,1
11649,0,1
11650,.9788,5
11700,.9989,5
11810,.95840001,4
11820,.93010002,4
11830,.92379999,4
11840,.94529998,4
11860,.98589998,5
11869,0,1
11870,.92799997,4
11920,.97829998,5
11930,1,5
11950,1,5
12009,0,1
12070,0,1
12080,.74059999,3
12250,.60589999,2
12300,.56830001,2
12410,0,1
12500,.5395,2
12600,.68559998,2
12700,.63840002,2
12800,.63849998,2
12910,.72850001,3
12920,0,1
12930,0,1
12940,0,1
12950,.59500003,2
13000,.91140002,4
13009,0,1
13010,.85000002,3
13020,.84100002,3
13030,.89359999,3
13040,.8387,3
13050,.73079997,3
13063,0,1
13090,.8168,3
13093,.82190001,3
13094,.83329999,3
13099,.80190003,3
13110,0,1
13119,0,1
13123,0,1
13129,0,1
13150,.8114,3
13180,.838,3
13200,.88459998,3
13209,0,1
13210,.85729998,3
13220,.90380001,3
13229,0,1
13230,.9127,4
13250,.81599998,3
13273,.97729999,5
13280,.81400001,3
13310,.8222,3
13315,.81199998,3
13318,0,1
13363,0,1
13400,.80800003,3
13419,.72610003,3
13420,.80040002,3
13429,0,1
13430,.7895,3
13460,.82249999,3
13500,0,1
13509,.88239998,3
13510,.8082,3
13520,.85250002,3
13529,0,1
13545,.83350003,3
13546,0,1
13549,.63859999,2
13559,0,1
13600,0,1
13601,0,1
13610,0,1
13625,0,1
13630,0,1
13640,0,1
14009,0,1
14010,.99790001,5
14017,0,1
14020,.99940002,5
14030,.90810001,4
14049,.9012,3
14050,.98390001,5
14060,.99220002,5
14090,.9989,5
14098,0,1
14120,.99860001,5
14129,0,1
14130,0,1
14140,.98509997,5
14141,0,1
14148,0,1
14149,0,1
14150,.94940001,4
14160,.78780001,3
14208,.8901,3
14209,.74860001,3
14210,.99849999,5
14230,.66229999,2
14239,.79159999,3
14248,.73769999,3
14265,0,1
14266,.9874,5
14267,.94590002,4
14268,.92079997,4
14269,.96069998,4
14270,0,1
14273,0,1
14275,0,1
14276,0,1
14307,0,1
14309,0,1
14320,1,5
14324,0,1
14325,.99919999,5
14327,0,1
14329,0,1
14334,0,1
14336,0,1
14337,0,1
14339,0,1
14350,.99790001,5
14356,0,1
14358,0,1
14376,.972,4
14377,1,5
14378,0,1
14386,1,5
14387,.90960002,4
14388,.9418,4
14389,.98619998,5
14399,0,1
14400,.66439998,2
14406,.70370001,3
14408,.65109998,2
14409,.64539999,2
14410,.94630003,4
14428,0,1
14429,.83350003,3
14438,.85970002,3
14439,.93769997,4
14440,.90170002,3
14450,0,1
14456,0,1
14460,.76899999,3
14476,.57450002,2
14479,.6336,2
14480,.27669999,2
14490,.2674,2
14500,.27360001,2
14520,0,1
14529,0,1
14550,0,1
14600,.99739999,5
14608,.98680001,5
14609,.98390001,5
14610,.9946,5
14629,.99860001,5
14639,0,1
14640,.87889999,3
14643,.90219998,3
14646,.92409998,4
14650,.77819997,3
14651,0,1
14653,.8937,3
14655,0,1
14656,0,1
14657,.73570001,3
14658,.80180001,3
14659,.8039,3
14700,.36680001,2
14710,.42910001,2
14720,.63480002,2
14730,.54189998,2
14734,0,1
14737,.65319997,2
14738,.45559999,2
14739,.68760002,2
14740,.64529997,2
14749,.74150002,3
14750,0,1
14760,0,1
14780,0,1
14790,0,1
14900,.30509999,2
15000,.95429999,4
15010,.95450002,4
15020,.95310003,4
15100,.96469998,4
15120,0,1
15200,.97030002,4
15210,.94510001,4
15230,.93449998,4
15240,.99510002,5
15250,.9885,5
15260,.96259999,4
15270,.96759999,4
15280,.93760002,4
15290,.9698,4
15299,0,1
15300,.95630002,4
15309,.95050001,4
15320,.90600002,3
15330,.90490001,3
15339,.92650002,4
15340,.95160002,4
15350,.9835,5
15370,.84920001,3
15380,.96240002,4
15390,.99309999,5
15400,.92930001,4
15410,.92720002,4
15420,.96390003,4
15430,.95270002,4
15440,.98119998,5
15450,.91159999,4
15460,.89240003,3
15470,0,1
15500,.9429,4
15510,.92369998,4
15520,.85339999,3
15530,.94709998,4
15540,.98930001,5
15610,.92210001,4
15620,0,1
15630,.93370003,4
15650,.8495,3
15669,0,1
15670,.90469998,3
15700,.95649999,4
15710,.65820003,2
15720,0,1
15730,.98100001,5
15740,.92659998,4
15750,.91420001,4
15800,.99680001,5
15810,.95709997,4
15820,.9806,5
15829,0,1
15830,.98070002,5
15840,.95590001,4
15850,.935,4
15860,.84689999,3
15870,.99919999,5
15900,.99419999,5
15909,0,1
15940,.96759999,4
15950,0,1
15960,.99669999,5
15968,0,1
15970,.99370003,5
15980,1,5
15990,.95590001,4
16001,0,1
16019,0,1
16029,.93800002,4
16034,.97250003,4
16036,0,1
16038,.62330002,2
16039,0,1
16057,0,1
16058,0,1
16060,.65439999,2
16095,0,1
16098,0,1
16099,0,1
16100,.88249999,3
16105,0,1
16200,.86940002,3
16210,.91479999,4
16220,0,1
16244,0,1
16247,0,1
16248,0,1
16300,.84460002,3
16310,.74489999,3
16320,.79329997,3
16330,0,1
16340,.81029999,3
16400,.78210002,3
16410,.81599998,3
16420,.76789999,3
16428,.68559998,2
16429,.80019999,3
16430,.88690001,3
16440,.67919999,2
16443,.7184,3
16450,.7335,3
16457,.65259999,2
16459,.58899999,2
16500,0,1
16510,0,1
16515,0,1
16533,.67250001,2
16600,.72469997,3
16604,.41330001,2
16605,.55470002,2
16606,.3766,2
16607,.44069999,2
16609,0,1
16610,.6821,2
16614,.53960001,2
16615,.23649999,2
16616,.57779998,2
16617,.52060002,2
16620,.71069998,3
16630,.59909999,2
16640,.54979998,2
16710,.80260003,3
16720,.58279997,2
16739,.86669999,3
16740,.89319998,3
16749,.72970003,3
16750,.92140001,4
16770,.78960001,3
16797,.8373,3
16799,.53579998,2
16800,.88810003,3
16808,0,1
16809,0,1
16813,.4183,2
16860,.66320002,2
16866,0,1
16869,0,1
16870,0,1
16889,0,1
16900,.5747,2
16908,0,1
16909,0,1
16910,0,1
52105,0,1
52764,0,1
52780,0,1
52786,0,1
52787,0,1
52927,0,1
53000,0,1
53050,0,1
53100,0,1
53160,0,1
53200,0,1
53310,0,1
53370,0,1
53398,0,1
53489,0,1
53910,0,1
54000,0,1
54015,0,1
54020,0,1
54080,0,1
54150,0,1
54180,0,1
54720,0,1
54730,0,1
54745,0,1
54769,0,1
54879,0,1
54900,0,1
54913,0,1
54949,0,1
55000,0,1
55070,0,1
55280,0,1
55349,0,1
55390,0,1
55700,0,1
55719,0,1
55760,0,1
56400,0,1
56615,0,1
56619,0,1
57100,0,1
57120,0,1
57170,0,1
57185,0,1
57200,0,1
57310,0,1
